Rank,Name,Gs,MPG,FG%,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
165,Chris Boucher,60,19.6,.459,.802,0.8,6.6,0.6,0.86,0.6,1.6,0.7,9.7
166,Nerlens Noel,60,19.3,.639,.745,0.0,5.5,0.9,0.90,1.1,1.6,1.0,7.5
167,Paul Millsap,61,23.5,.482,.770,0.8,5.8,1.7,1.32,0.9,0.7,1.3,11.2
168,Dewayne Dedmon,61,23.9,.464,.820,0.9,7.4,1.1,0.79,0.9,1.1,1.4,9.2
169,JaVale McGee,64,17.6,.633,.646,0.0,6.0,0.6,0.59,0.5,1.6,1.0,8.3
170,Jarrett Culver,66,26.7,.435,.649,1.3,3.8,1.9,1.36,1.0,0.7,1.4,11.4
171,Devin Vassell,65,24.9,.450,.734,1.7,4.1,1.9,1.36,0.9,0.7,1.4,10.4
172,Justin Holiday,66,28.3,.405,.828,2.0,3.6,1.6,1.61,1.3,0.5,1.0,9.8
173,Rudy Gay,63,23.2,.469,.839,1.0,5.8,2.0,1.43,0.6,0.5,1.4,11.5
174,Aaron Nesmith,66,24.2,.441,.886,2.6,2.9,2.1,1.51,0.7,0.4,1.4,11.9
175,Isaac Okoro,66,26.9,.466,.710,0.9,4.8,1.6,1.80,0.9,0.7,0.9,9.5
176,Norman Powell,63,25.1,.484,.831,1.7,3.1,1.8,1.28,1.0,0.3,1.4,12.7
177,JJ Redick,62,26.7,.447,.898,2.8,2.4,2.1,1.76,0.4,0.2,1.2,15.2
178,P.J. Tucker,68,33.2,.414,.777,1.6,6.3,1.3,1.44,1.2,0.4,0.9,7.1
179,Enes Kanter,58,21.4,.566,.772,0.1,9.0,1.3,0.93,0.4,0.6,1.4,11.1
180,Cody Zeller,62,23.4,.531,.710,0.2,6.8,1.6,1.22,0.7,0.6,1.3,10.4
181,Dwight Howard,64,20.1,.698,.508,0.1,7.8,0.7,0.54,0.5,1.2,1.3,8.3
182,Moritz Wagner,64,22.6,.515,.823,0.9,5.7,1.5,0.83,0.7,0.6,1.8,11.0
183,Eric Gordon,58,32.1,.399,.779,3.2,2.3,1.9,1.36,0.7,0.4,1.4,16.8
184,Patrick Beverley,58,27.4,.415,.733,1.5,5.2,3.8,2.93,1.0,0.5,1.3,7.8
185,Alec Burks,62,24.9,.406,.878,1.4,4.2,2.4,1.84,0.8,0.3,1.3,12.5
186,Matisse Thybulle,64,24.7,.422,.638,1.4,1.9,1.6,1.59,1.7,0.9,1.0,8.3
187,Kentavious Caldwell-Pope,68,26.5,.446,.817,1.7,2.9,1.6,1.79,1.0,0.2,0.9,10.8
188,Rajon Rondo,57,24.3,.423,.636,0.9,3.8,6.5,2.97,1.0,0.1,2.2,8.0
189,Marcus Morris Sr.,66,24.3,.435,.828,1.8,4.5,1.1,0.92,0.6,0.3,1.2,12.9
190,Trevor Ariza,65,27.5,.413,.821,1.6,4.3,2.1,2.11,1.2,0.2,1.0,8.9
191,Onyeka Okongwu,63,22.7,.548,.735,0.4,4.9,1.3,0.77,0.8,1.1,1.7,9.5
192,James Johnson,57,24.7,.470,.682,1.1,4.3,3.1,1.72,0.9,0.9,1.8,9.9
193,Gary Harris,60,30.1,.435,.817,1.4,2.7,2.2,1.83,1.3,0.3,1.2,11.9
194,Dwight Powell,61,23.4,.611,.724,0.4,5.5,1.4,1.55,0.7,0.6,0.9,9.7
195,Dario Saric,65,25.0,.452,.842,1.3,5.9,1.9,1.46,0.6,0.2,1.3,10.2
196,Carmelo Anthony,63,28.2,.416,.814,1.5,5.4,1.2,0.86,0.6,0.4,1.4,13.4
197,Nicolas Batum,58,29.0,.424,.862,1.3,4.9,3.7,2.47,0.9,0.5,1.5,8.3
198,Trey Burke,63,21.7,.452,.785,1.1,2.0,3.5,3.88,0.6,0.1,0.9,11.6
199,Bobby Portis,62,22.5,.451,.778,1.1,6.2,1.5,1.15,0.6,0.3,1.3,11.7
200,Josh Hart,64,26.2,.419,.725,1.7,5.2,1.5,1.50,1.0,0.4,1.0,9.0
201,Kent Bazemore,64,25.3,.392,.756,1.3,4.1,1.9,1.20,1.2,0.6,1.6,10.2
202,Shabazz Napier,65,21.4,.404,.825,1.3,2.4,3.6,2.11,1.1,0.2,1.7,9.7
203,Tristan Thompson,58,25.4,.519,.615,0.1,8.7,1.7,1.22,0.5,0.6,1.4,9.7
204,Danny Green,65,25.1,.432,.769,2.0,3.5,1.4,1.54,1.0,0.6,0.9,8.7
205,Alex Len,64,19.3,.530,.650,0.5,6.1,1.1,1.00,0.4,0.9,1.1,9.4
206,Kelly Olynyk,65,21.0,.478,.826,1.4,4.8,1.9,1.46,0.7,0.4,1.3,9.2
207,Kyle Kuzma,63,25.6,.443,.739,1.4,4.6,1.6,1.06,0.4,0.4,1.5,13.7
208,Cameron Johnson,62,25.4,.433,.793,2.4,3.6,1.3,1.88,0.8,0.4,0.7,10.5
209,Harry Giles III,57,22.3,.552,.741,0.0,6.1,1.9,1.35,0.8,0.5,1.4,10.4
210,Bruce Brown,61,26.6,.439,.738,0.5,4.3,3.5,2.33,1.0,0.5,1.5,8.1
211,De'Andre Hunter,67,28.7,.434,.784,1.5,4.0,1.6,1.06,0.7,0.3,1.5,11.6
212,Cory Joseph,69,24.9,.419,.779,0.7,3.0,3.5,3.51,0.9,0.3,1.0,6.7
213,Kevin Knox II,67,28.4,.407,.708,1.6,4.4,1.3,1.00,0.5,0.5,1.3,12.4
214,Royce O'Neale,66,28.7,.446,.758,1.2,5.2,2.4,2.39,0.8,0.4,1.0,6.7
215,Luke Kennard,57,29.3,.441,.867,2.1,3.4,2.9,2.23,0.5,0.2,1.3,12.9
216,Nicolo Melli,63,23.5,.448,.754,1.7,4.2,1.8,1.64,0.8,0.5,1.1,9.4
217,Tyus Jones,66,19.9,.447,.791,0.7,1.7,4.3,5.36,1.0,0.1,0.8,6.8
218,Kevin Porter Jr.,60,26.6,.457,.754,1.3,3.7,2.5,1.19,1.1,0.3,2.1,11.8
219,Maxi Kleber,66,22.7,.460,.826,1.3,4.8,1.0,1.43,0.4,1.1,0.7,7.7
220,Jaxson Hayes,62,20.9,.617,.658,0.0,4.9,1.1,1.21,0.5,1.2,0.9,9.0
221,T.J. McConnell,66,19.7,.516,.818,0.2,2.6,4.3,3.30,0.9,0.2,1.3,6.4
222,Patty Mills,67,23.4,.422,.866,2.1,1.9,2.4,2.40,0.7,0.1,1.0,10.8
223,Danuel House Jr.,63,27.3,.436,.794,1.8,3.9,1.2,1.52,0.9,0.5,0.8,9.6
224,Terence Davis II,67,20.3,.468,.851,1.6,4.1,2.0,1.68,0.6,0.2,1.2,9.3
225,Kyle Anderson,67,20.8,.504,.647,0.3,4.6,2.3,2.30,0.9,0.6,1.0,6.1
226,Kira Lewis Jr.,63,20.3,.423,.780,1.0,2.6,4.1,1.86,0.9,0.1,2.2,10.9
227,D.J. Augustin,63,23.5,.435,.873,1.3,2.1,4.3,3.08,0.6,0.0,1.4,9.9
228,Cole Anthony,60,26.3,.417,.770,2.1,2.4,3.4,1.55,0.9,0.1,2.2,12.6
229,Naz Reid,56,18.1,.462,.732,1.3,4.6,1.2,1.72,0.7,0.8,0.7,11.0
230,Eric Paschall,66,22.8,.517,.794,0.5,3.8,1.7,1.30,0.4,0.2,1.3,11.9
231,Taj Gibson,65,22.0,.572,.751,0.1,5.5,1.0,1.10,0.6,0.5,0.9,8.7
232,Jakob Poeltl,65,16.9,.635,.526,0.0,5.2,1.4,1.75,0.5,1.2,0.8,5.6
233,George Hill,62,22.4,.491,.817,1.2,2.8,2.7,2.69,0.8,0.2,1.0,9.0
234,Jalen Smith,66,21.8,.484,.758,0.7,5.3,0.7,0.50,0.5,1.0,1.4,8.8
235,Nickeil Alexander-Walker,61,21.6,.410,.724,1.9,3.5,3.2,1.88,0.5,0.3,1.7,10.8
236,Darius Bazley,60,27.3,.415,.692,1.2,5.9,0.9,0.75,0.6,1.0,1.2,9.7
237,Langston Galloway,65,26.3,.424,.857,2.1,2.4,1.5,2.51,0.7,0.2,0.6,10.5
238,Markieff Morris,64,22.6,.447,.791,1.4,4.4,1.5,1.16,0.6,0.4,1.3,10.2
239,Glenn Robinson III,62,25.7,.482,.856,1.1,3.7,1.4,1.74,0.8,0.2,0.8,10.3
240,Marvin Williams,63,23.8,.435,.820,1.4,4.1,1.2,2.00,0.8,0.6,0.6,8.2
241,Malik Monk,63,24.6,.425,.825,1.3,3.2,2.4,1.50,0.5,0.3,1.6,11.9
242,Saddiq Bey,61,24.1,.448,.768,1.0,3.7,1.7,1.55,0.9,0.8,1.1,8.3
243,Jabari Parker,54,22.0,.494,.723,0.8,5.1,1.8,1.05,0.8,0.4,1.7,12.1
244,Zach Collins,54,27.5,.470,.767,0.9,6.2,1.5,0.94,0.5,1.1,1.6,9.8
245,Gary Trent Jr.,65,24.4,.436,.821,1.8,2.0,1.1,2.18,0.9,0.3,0.5,9.8
246,Luguentz Dort,65,29.1,.433,.796,1.4,2.5,1.0,1.41,1.0,0.1,0.7,11.1
247,Jeff Green,65,23.2,.467,.853,1.2,3.4,1.3,1.18,0.5,0.4,1.1,10.5
248,DeAndre' Bembry,60,24.0,.447,.600,0.5,4.2,2.3,1.35,1.4,0.5,1.7,7.6
249,Josh Okogie,65,24.3,.427,.786,0.9,3.8,1.4,1.17,1.1,0.4,1.2,8.6
250,Jalen Brunson,61,21.9,.468,.768,0.9,2.6,3.6,2.78,0.5,0.1,1.3,9.7
