Rank,Name,Team,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
414,Brandon Knight,DET,25,18.5,2.3651,6.7,0.353,0.8232,1.4,0.588,1.8,1.6,2.8,0.4,0.1,1.5,7.3
415,Chris Silva,MIA,44,7.9,1.107,1.8,0.615,0.8749,1.3,0.673,0,2.9,0.5,0.2,0.5,0.7,3
416,Mfiondu Kabengele,LAC,12,5.4,1.1826,2.7,0.438,0.4,0.4,1,0.8,0.9,0.2,0.2,0.2,0.2,3.5
417,Zylan Cheatham,NOR,4,12.8,1.5341,2.3,0.667,0,0,0,0,2.3,0.8,0.3,0.3,1,3
418,Chasson Randle,GSW,3,13.5,0,1.3,0,1.666,2,0.833,0,0.7,1.7,0.7,0,0,1.7
419,Evan Turner,MIN,19,13.2,1.3055,3.5,0.373,0.5999,0.7,0.857,0,2,2,0.5,0.4,1.4,3.3
420,Treveon Graham,ATL,55,16.9,1.584,4.4,0.36,0.643,1,0.643,0.6,2.7,0.8,0.4,0.1,0.5,4.4
421,Nickeil Alexander-Walker,NOR,47,12.6,2.0976,5.7,0.368,0.5408,0.8,0.676,1,1.8,1.9,0.4,0.2,1.1,5.7
422,Nicolas Claxton,BKN,15,12.5,1.8016,3.2,0.563,0.7336,1.4,0.524,0.1,2.9,1.1,0.1,0.5,0.6,4.4
423,Marko Guduric,MEM,44,11,1.422,3.6,0.395,0.5538,0.6,0.923,0.6,1.7,1,0.3,0.2,0.8,3.9
424,Matthew Dellavedova,CLE,57,14.4,1.0974,3.1,0.354,0.519,0.6,0.865,0.4,1.3,3.2,0.4,0,1,3.1
