Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS,Taken,Rank_zscore,Gs_zscore,MPG_zscore,FGA_zscore,FGM_zscore,FG%_zscore,FTA_zscore,FTM_zscore,FT%_zscore,3PM_zscore,REB_zscore,AST_zscore,ATO_zscore,STL_zscore,BLK_zscore,TOV_zscore,PTS_zscore,SUM_zscore
33,Tobias Harris,69,34.7,16.3,7.89,0.484,3.0,2.51,0.838,2.4,7.0,2.9,1.82,0.7,0.5,1.6,22.4,True,-1.2817278514647965,1.6466323347518548,1.3509988111324183,1.3120068650029406,1.4114944032690995,0.1477459461712054,0.0660056828902773,0.16222479610802693,0.7977786768070488,1.0074455626433612,0.6018184037088466,-0.1010580912385963,0.12796284202354086,-0.682085530334278,-0.2765537334580853,-0.21631580189335323,1.3523926893020972,3.0637997254949525
34,DeMar DeRozan,68,34.4,15.4,7.67,0.498,6.6,5.52,0.836,0.3,5.5,5.7,2.38,1.0,0.3,2.4,22.1,True,-1.2678713341516636,1.3573434495178678,1.2849933972604015,1.107290121157128,1.3055494933670846,0.3783930521476643,1.8994968742868636,2.0299444881412323,0.7725149274623452,-1.2713520262741944,-0.007803155963809501,1.3109312075042685,0.8915944653524277,0.19089083101505383,-0.6761978569524283,0.8016409128988987,1.299743090704819,1.19547915674482
35,Rudy Gobert,64,33.3,8.2,5.57,0.679,5.9,3.73,0.633,0.0,13.1,1.7,0.95,0.8,2.2,1.8,15.2,True,-1.2540148168385308,0.20018790858191915,1.0429735463963434,-0.5304438296093721,0.29425717157512377,3.360330636557595,1.5429846981819721,0.9192407510184958,-1.79175563102507,-1.5968945389767024,3.0809460797109818,-0.7061963621283954,-1.0583934299338376,-0.3910934098845005,3.120421316243831,0.03817337680470977,0.08880232296740972,5.126387036660439
36,D'Angelo Russell,62,33.4,18.8,8.29,0.441,4.4,3.63,0.8240000000000001,3.4,4.3,7.1,2.03,1.2,0.3,3.5,24.0,True,-1.2401582995253977,-0.3783898618860551,1.064975351020349,1.8806644867968643,1.6041215121818535,-0.560670165042203,0.7790300351000612,0.8571902629110802,0.6209324313941248,2.092587271651721,-0.49550040370193454,2.0169258568757007,0.41432470077187317,0.7728750719146081,-0.6761978569524283,2.2013313957382454,1.6331905484875837,3.202811358888927
37,Jamal Murray,65,34.8,15.2,6.96,0.45799999999999996,3.1,2.73,0.882,2.4,4.3,4.9,2.13,1.1,0.3,2.3,24.1,True,-1.2263017822122648,0.4894767938159063,1.373000615756422,1.061797511413614,0.9636363750469453,-0.2805986792136468,0.11693599376240477,0.2987358699443411,1.3535811623905285,1.0074455626433612,-0.49550040370193454,0.9075056935777358,0.5506874906520317,0.48188295146483134,-0.6761978569524283,0.6743963235498671,1.6507404146866769,3.274462521345258
38,Chris Paul,62,32.4,12.7,5.91,0.465,4.0,3.57,0.893,1.9,5.0,7.4,3.21,1.7,0.2,2.3,17.5,True,-1.212445264899132,-0.3783898618860551,0.8449573047802965,0.49313988961969035,0.45799021415096497,-0.16527512622541643,0.5753087916115514,0.8199599700466309,1.4925317837863985,0.46487470813918125,-0.21101034252136155,2.1682104245981506,2.0234056213577425,2.227835674163494,-0.8760199186995998,0.6743963235498671,0.4924492455465462,4.919200125237525
39,Khris Middleton,64,33.1,15.3,7.34,0.48,3.7,3.29,0.888,2.8,6.4,3.7,1.61,1.1,0.1,2.3,23.8,True,-1.1985887475859989,0.20018790858191915,0.9989699371483339,1.084543816285371,1.1466321285140622,0.0818467730350743,0.42251785899516925,0.6462186033458678,1.4293724104246395,1.441502246246705,0.35796977983978434,0.3023674226879366,-0.15839901672479176,0.48188295146483134,-1.0758419804467714,0.6743963235498671,1.598090816089398,3.9427940957917307
40,Kyle Lowry,65,33.7,13.8,5.77,0.418,5.9,5.06,0.857,2.7,4.8,7.6,2.81,1.3,0.4,2.7,16.6,True,-1.184732230272866,0.4894767938159063,1.1309807648923658,0.7433492432090171,0.3905707260315006,-0.9395904105749568,1.5429846981819721,1.7445122428471214,1.0377842955817334,1.3329880753458694,-0.29229321714438244,2.2690668030797836,1.4779544618371092,1.0638671923643856,-0.47637579520525675,1.1833746809459937,0.3345004497547105,3.1465727122558933
41,Jusuf Nurkic,61,31.4,13.7,6.93,0.506,4.9,3.65,0.7440000000000001,0.0,11.6,3.3,1.22,1.1,1.6,2.7,17.6,True,-1.1708757129597331,-0.6676787471200423,0.624939258540244,0.7206029383372597,0.9491893418784887,0.5101913984199264,1.033681589460698,0.8696003605325634,-0.38961754239401875,-1.5968945389767024,2.4713245200383254,0.10065466572467004,-0.6902138972574098,0.48188295146483134,1.9214889457608015,1.1833746809459937,0.5099991117456394,2.82565483083748
42,Fred VanVleet,65,34.3,14.3,5.86,0.41,3.7,3.12,0.8420000000000001,2.6,3.6,6.3,2.99,1.7,0.3,2.1,17.9,True,-1.1570191956466,0.4894767938159063,1.262991592636396,0.8570807675678017,0.43391182553687074,-1.0713887568472191,0.42251785899516925,0.5407327735632614,0.8483061754964575,1.2244739044450335,-0.7799904648825073,1.6135003429491679,1.7234074836213944,2.227835674163494,-0.6761978569524283,0.4199071448518044,0.5626487103429175,3.5292805838631107
